case_id,arm,stage,family,state,entry_mode,unresolved_obligation,owner,applicable,explicit_method,owner_source,required_implicit_owner,entry_match,owner_match,route_match,joint_match,first_divergence,final_route,reason,call_keys
L16,source,native_strict,edsp,semantic_observed,direct_execution,clear,not_run,not_run,,not_reached,False,True,,True,True,none,direct_execute,fact_sufficient_low_risk_direct_task,"[""5400af771812b6b53dc33100a7d421f1c23ddacf781fde66b9272fd8a7d65bc0""]"
L16,english,native_strict,edsp,semantic_observed,direct_execution,clear,not_run,not_run,,not_reached,False,True,,True,True,none,direct_execute,fact_sufficient_low_risk_direct_task,"[""8ede252a166db06e93b2fd22651ec659471185c07df2f9a62776b55834f5a80c""]"
L17,source,native_strict,sela_mpg,technical_failure,error:provider_error,error:provider_error,not_run,not_run,,not_reached,True,,,,,not_scored,llm_fallback,entry_mode:provider_error,"[""4109e6436eca7cbf24437bedff9bd6f8015f6d6f630786515dc3cd6e19d7c932""]"
L17,english,unrun,sela_mpg,unrun,not_run,not_run,not_run,not_run,,not_reached,True,,,,,not_scored,,,[]
L18,source,native_rounding,sela_mpg,semantic_observed,direct_execution,clear,not_run,not_run,,not_reached,True,False,,False,False,J1_entry,direct_execute,fact_sufficient_low_risk_direct_task,"[""570c8c176a0123e6a124c4945137e76c4ae5580e7140fc8897d62dbfc8e36e97""]"
L18,english,native_rounding,sela_mpg,semantic_observed,direct_execution,clear,not_run,not_run,,not_reached,True,False,,False,False,J1_entry,direct_execute,fact_sufficient_low_risk_direct_task,"[""d778d7d14e45a588d39db335d0c258769fdd16d7c158c1b5756d89cd00f51a07""]"
L19,source,native_rounding,sela_mpg,semantic_observed,mindthus_intervention,clear,sela,yes,,model_choice,True,True,False,True,False,J4_owner,intervene,eligible_owner_selected,"[""3d56f771dbeca40af689290c9fa438072b5f94c2eda149e5befa39b5012ff6da"", ""bbafada05084f092ff6446bab29b638e87185beea2a42a8cd2fe9ce62bc71566"", ""fec4af6d41a770fad36d107a5fcfceff345b5ae11d2117864937bf1ff03d6c76""]"
L19,english,native_rounding,sela_mpg,semantic_observed,mindthus_intervention,clear,mpg,yes,,model_choice,True,True,True,True,True,none,intervene,eligible_owner_selected,"[""fedecafac732733ed3f373fff1e39a588e5297d270df57825bedaab8d096ddd4"", ""dc1346549fc56a176d888ce85d2b76f29161b53cdea14fb4c5b448bbd50954f7"", ""df6371902f8775243a3e3cdbed8850222eb8dbf78ca49267b017137a9a0b1d59""]"
L20,source,native_rounding,sela_mpg,semantic_observed,mindthus_intervention,clear,mpg,yes,,model_choice,True,True,True,True,True,none,intervene,eligible_owner_selected,"[""8365401fa1fe92bb99474f9d524cc34d9f1c121710de61f75508424f832c1a45"", ""28c26babd5af46c6ce0e2e68ca610d4289e7fc983cdcaaef0384b0f711b1f2d3"", ""a75db16739d0a4392d2e0ffaed3005357b4de93c98730e853486caeec97a48c7""]"
L20,english,native_rounding,sela_mpg,semantic_observed,mindthus_intervention,clear,mpg,yes,,model_choice,True,True,True,True,True,none,intervene,eligible_owner_selected,"[""1ad10d49f4bc0aa6117c5ac2096c85f6471aea69b9f6ecf907a8cb553ca4e57c"", ""a10ab270afae59a9bb645c4387f489dd13735d2a7b62258fe76e0aab624323c0"", ""cad15b4abc21cd7510c7a1e7bbb8b34a600713847fe408bbfe8ece5e6b6c894e""]"
L21,source,native_rounding,wae_boundary,semantic_observed,mindthus_intervention,clear,wae,yes,,model_choice,True,True,True,True,True,none,intervene,eligible_owner_selected,"[""be226a845c2f2b64dd3c53d31307f901a1000206f4aebdf7315b4e32786e9740"", ""13b2053788aef551b46f6075232dd967f65f08099b7aa81f4b345bf033a24492"", ""9357774404594735001449ad090f1b93019e8a8ebe56cfed575de9397ed1f6da""]"
L21,english,native_rounding,wae_boundary,semantic_observed,mindthus_intervention,clear,wae,yes,,model_choice,True,True,True,True,True,none,intervene,eligible_owner_selected,"[""9fcb023561c0f047fe8abfc781756af3a7ec4bd8f5c7a44f71920ec96b54a927"", ""2d176b6230c8c8bd3feba4d7578ccbc57c84f8e09408cd5f5ef56c94fe68fe33"", ""02b3df721cbcfd576e10ecea4de84cdbc74a610f79ccd8d302cd296fe501422b""]"
L22,source,native_rounding,wae_boundary,semantic_observed,mindthus_intervention,present,not_run,not_run,,not_reached,True,True,,False,False,J2_block,llm_fallback,unresolved_or_conflicting_judgment,"[""4b710728744ec12abec5494441f64c370e0bb2eab5938c84effb0a5e916a3fda""]"
L22,english,native_rounding,wae_boundary,semantic_observed,mindthus_intervention,present,not_run,not_run,,not_reached,True,True,,False,False,J2_block,llm_fallback,unresolved_or_conflicting_judgment,"[""6a03de73e1350e7154cb253dea033471c012f6f930f5397961fc9d702fe4b697""]"
L23,source,native_rounding,wae_boundary,semantic_observed,direct_execution,clear,not_run,not_run,,not_reached,False,True,,True,True,none,direct_execute,fact_sufficient_low_risk_direct_task,"[""762a8e96c893aba22c134fb10038410a947b33a911f479274692e19c22e42413""]"
L23,english,native_rounding,wae_boundary,semantic_observed,direct_execution,clear,not_run,not_run,,not_reached,False,True,,True,True,none,direct_execute,fact_sufficient_low_risk_direct_task,"[""1e8c8ea9552e9134b46474f4c728762b9c0a70d0543f162c65d994e1c6e8868d""]"
L24,source,native_rounding,wae_boundary,semantic_observed,direct_execution,clear,not_run,not_run,,not_reached,False,True,,True,True,none,direct_execute,fact_sufficient_low_risk_direct_task,"[""60b5444952f003d0765037edf006e2d878bdb560794b326f817fb8b8648de122""]"
L24,english,native_rounding,wae_boundary,semantic_observed,direct_execution,clear,not_run,not_run,,not_reached,False,True,,True,True,none,direct_execute,fact_sufficient_low_risk_direct_task,"[""bf9d39280b6f0ca60dcf97804039c0983a68c3deb102f065ecdf5b4e3030133f""]"
L25,source,native_rounding,explicit_method,semantic_observed,mindthus_intervention,clear,not_run,yes,sra,explicit_binding,False,True,,True,True,none,intervene,eligible_owner_selected,"[""7f2c42f68b5bc3f68695e5e93d15a255b0464583e4bbe5a99f0c6557ac7f4049"", ""2ecd637b5ecbe942b32324c33b1a4a49795c12db112d0a24bac72f0197b5eb41""]"
L25,english,native_rounding,explicit_method,semantic_observed,mindthus_intervention,clear,not_run,yes,sra,explicit_binding,False,True,,True,True,none,intervene,eligible_owner_selected,"[""6991ba8e9a5d55e016303fb393abd74b09ed242d7a60f2e28e53d4b2676917b7"", ""1258a4d55e7db7faa9530d17fbc8010c2bdd6b450a1560e60518492799842beb""]"
L26,source,native_rounding,explicit_method,semantic_observed,direct_execution,clear,not_run,not_run,edsp,not_reached,False,False,,False,False,J1_entry,llm_fallback,explicit_method_conflicts_with_direct,"[""53a8911384167e06c8f113c9c0e5ed662a7e5961da25c4d91b6defc9defe7181""]"
L26,english,native_rounding,explicit_method,semantic_observed,mindthus_intervention,clear,not_run,yes,edsp,explicit_binding,False,True,,True,True,none,intervene,eligible_owner_selected,"[""8e439f40e44309f35413b7defbdddcff3cd2ed85e18bd2fd40f3830900aab8fd"", ""59f2cb037de974e8c2e51a40f16c74ade75a2a6f3693233bd2d196e43e6ae25d""]"
L27,source,native_rounding,explicit_method,semantic_observed,direct_execution,clear,not_run,not_run,wae,not_reached,False,False,,True,False,J1_entry,llm_fallback,explicit_method_conflicts_with_direct,"[""e84cd45593a427f9babc838236c4bd4b607e138db44304ffc940a4a0ead8d68b""]"
L27,english,native_rounding,explicit_method,semantic_observed,direct_execution,clear,not_run,not_run,wae,not_reached,False,False,,True,False,J1_entry,llm_fallback,explicit_method_conflicts_with_direct,"[""11258adec403d3ce5acd288c9db0fd54902c98d38d34a555ff92f94842d0f4a4""]"
L28,source,native_rounding,explicit_method,semantic_observed,direct_execution,clear,not_run,not_run,mpg,not_reached,False,False,,True,False,J1_entry,llm_fallback,explicit_method_conflicts_with_direct,"[""5d4f24e714d1b75caa4f34c58a18c72895fb6791558321d1fd9cff36f8475274""]"
L28,english,native_rounding,explicit_method,semantic_observed,direct_execution,clear,not_run,not_run,mpg,not_reached,False,False,,True,False,J1_entry,llm_fallback,explicit_method_conflicts_with_direct,"[""4bba1832cfa1993c5f3d8545e62df207131177d75689f677bfc18416deea42c9""]"
L29,source,native_rounding,obligation_d0,semantic_observed,acquire_information,present,not_run,not_run,,not_reached,False,True,,True,True,none,llm_fallback,unresolved_or_conflicting_judgment,"[""18dca8975032665f8bf7ebb2d6b4901fd1248563c64dae38797954e1ea8355cb""]"
L29,english,native_rounding,obligation_d0,semantic_observed,acquire_information,present,not_run,not_run,,not_reached,False,True,,True,True,none,llm_fallback,unresolved_or_conflicting_judgment,"[""5cb72c0e1a9f3e48e709d5ba17577a494712e3a27b63716f439e4dcea54322c4""]"
L30,source,native_rounding,obligation_d0,mechanical_d0,not_run,not_run,not_run,not_run,,not_reached,False,,,,,not_scored,original_path,stale_or_unknown_context,[]
L30,english,native_rounding,obligation_d0,mechanical_d0,not_run,not_run,not_run,not_run,,not_reached,False,,,,,not_scored,original_path,stale_or_unknown_context,[]
L31,source,native_rounding,obligation_d0,mechanical_d0,not_run,not_run,not_run,not_run,,not_reached,False,,,,,not_scored,original_path,missing_request,[]
L31,english,native_rounding,obligation_d0,mechanical_d0,not_run,not_run,not_run,not_run,,not_reached,False,,,,,not_scored,original_path,missing_request,[]
L32,source,native_rounding,obligation_d0,semantic_observed,direct_execution,clear,not_run,not_run,,not_reached,False,True,,True,True,none,direct_execute,fact_sufficient_low_risk_direct_task,"[""b5484e73e28becf01f02fb737e86626cf060b3136e2498798884b2bb31b8d9e0""]"
L32,english,native_rounding,obligation_d0,semantic_observed,direct_execution,clear,not_run,not_run,,not_reached,False,True,,True,True,none,direct_execute,fact_sufficient_low_risk_direct_task,"[""3422956e22fbef678927c39d72073af2df4205124a81ff62c4d27697744bc338""]"
